timestamp,open,high,low,close,volume
2024-09-06,129.42,134.29,120.02,125.04,184045.19
2024-09-07,125.04,129.5,124.21,127.72,65127.77
2024-09-08,127.72,131.61,126.63,130.1,55879.95
2024-09-09,130.1,137.04,127.0,135.09,92983.89
2024-09-10,135.09,137.95,132.57,135.62,68266.63
2024-09-11,135.62,135.91,128.25,132.42,150228.19
2024-09-12,132.42,136.71,132.42,136.06,76949.23
2024-09-13,136.06,139.8,131.7,139.03,264692.74
2024-09-14,139.03,139.79,135.6,137.14,152386.44
2024-09-15,137.14,137.93,130.43,131.37,199354.0
2024-09-16,131.37,132.4,128.94,131.47,253902.02
2024-09-17,131.47,135.55,130.22,131.54,281018.85
2024-09-18,131.54,134.42,127.11,134.33,334366.7
2024-09-19,134.33,144.03,134.27,142.89,492370.71
2024-09-20,142.89,152.44,141.18,146.66,517204.71
2024-09-21,146.66,149.85,144.61,149.42,297209.63
2024-09-22,149.42,149.92,141.12,144.62,288000.39
2024-09-23,144.62,149.07,142.13,144.78,643831.1
2024-09-24,144.78,153.97,143.09,152.74,790042.38
2024-09-25,152.74,153.93,147.31,147.97,532509.7
2024-09-26,147.97,158.04,146.57,155.54,802956.04
2024-09-27,155.54,161.2,153.97,157.64,736493.57
2024-09-28,157.64,159.43,155.05,156.74,345985.58
2024-09-29,156.74,161.78,155.09,158.46,478393.09
2024-09-30,158.46,159.77,151.74,152.5,503303.48
2024-10-01,152.5,157.34,142.29,145.13,736732.64
2024-10-02,145.13,148.96,138.61,140.18,433606.64
2024-10-03,140.18,142.96,133.12,136.82,298294.61
2024-10-04,136.82,144.55,135.95,143.24,215454.17
2024-10-05,143.24,144.93,141.06,142.58,126877.3
2024-10-06,142.58,146.75,141.99,146.48,141574.16
2024-10-07,146.48,152.32,143.5,144.0,274734.18
2024-10-08,144.0,145.6,141.17,143.5,184006.63
2024-10-09,143.5,145.34,138.66,139.33,196988.52
2024-10-10,139.33,140.85,135.52,139.04,225943.04
2024-10-11,139.04,146.53,138.7,145.53,186244.58
2024-10-12,145.53,147.27,144.71,146.4,145742.07
2024-10-13,146.4,148.86,144.47,147.74,174559.95
2024-10-14,147.74,158.12,146.8,157.57,353028.68
2024-10-15,157.57,159.55,150.37,154.75,376029.67
2024-10-16,154.75,158.41,153.0,154.27,310518.95
2024-10-17,154.27,155.73,147.66,150.49,205701.36
2024-10-18,150.49,156.66,149.62,154.94,176076.31
2024-10-19,154.94,159.85,153.5,159.79,153630.15
2024-10-20,159.79,167.95,157.58,167.4,225086.71
2024-10-21,167.4,171.71,161.0,166.19,291746.84
2024-10-22,166.19,170.99,163.02,167.6,287735.19
2024-10-23,167.6,174.3,164.15,170.83,282059.25
2024-10-24,170.83,179.29,170.5,177.19,266581.75
2024-10-25,177.19,177.59,159.31,164.93,408309.62
2024-10-26,164.93,173.25,162.46,170.88,290216.42
2024-10-27,170.88,178.27,170.26,176.8,311925.49
2024-10-28,176.8,179.78,172.45,178.29,340651.78
2024-10-29,178.29,183.37,176.41,179.43,270513.17
2024-10-30,179.43,181.34,173.14,174.88,209253.17
2024-10-31,174.88,176.56,167.56,168.7,182879.35
2024-11-01,168.7,174.0,163.61,166.11,193709.49
2024-11-02,166.11,168.61,162.11,166.16,113103.57
2024-11-03,166.16,166.62,157.86,162.53,174544.58
2024-11-04,162.53,165.04,155.11,157.95,186845.76
2024-11-05,157.95,169.3,156.87,166.63,217830.6
2024-11-06,166.63,190.01,166.4,186.58,675225.67
2024-11-07,186.58,197.82,185.93,196.34,550126.47
2024-11-08,196.34,205.0,195.64,199.82,573222.45
2024-11-09,199.82,203.46,194.96,199.89,382503.46
2024-11-10,199.89,215.25,198.68,210.04,1353348.85
2024-11-11,210.04,223.0,204.15,221.02,1011642.49
2024-11-12,221.02,225.2,204.85,211.63,1047910.53
2024-11-13,211.63,220.43,200.75,215.14,784698.71
2024-11-14,215.14,222.8,206.79,209.57,516909.6
2024-11-15,209.57,220.28,204.48,218.46,359596.87
2024-11-16,218.46,221.91,213.5,215.71,190614.72
2024-11-17,215.71,242.11,212.11,237.47,366657.81
2024-11-18,237.47,248.41,234.02,239.79,327657.18
2024-11-19,239.79,247.5,233.48,237.53,401059.61
2024-11-20,237.53,242.41,230.41,235.47,443136.79
2024-11-21,235.47,259.5,224.2,256.38,1093558.28
2024-11-22,256.38,264.31,251.52,256.89,622717.06
2024-11-23,256.89,263.96,252.75,254.88,564239.61
2024-11-24,254.88,259.78,241.01,252.71,470080.74
2024-11-25,252.71,256.58,231.24,234.19,629190.17
2024-11-26,234.19,239.69,221.79,230.67,655826.45
2024-11-27,230.67,243.35,227.56,242.0,401521.6
2024-11-28,242.0,245.31,232.89,237.58,299091.4
2024-11-29,237.58,246.79,236.52,243.33,283128.42
2024-11-30,243.33,245.35,237.5,237.59,235993.81
2024-12-01,237.59,239.86,234.13,236.78,327309.86
2024-12-02,236.78,238.2,220.07,225.71,559604.83
2024-12-03,225.71,239.61,215.01,233.89,500889.41
2024-12-04,233.89,240.91,224.73,229.14,419179.28
2024-12-05,229.14,244.76,222.97,235.8,624201.55
2024-12-06,235.8,246.96,230.9,236.87,658136.07
2024-12-07,236.87,243.59,234.1,238.11,367129.59
2024-12-08,238.11,241.48,233.22,237.03,311964.86
2024-12-09,237.03,237.26,204.65,216.64,856423.35
2024-12-10,216.64,220.99,203.15,213.67,1236438.2
2024-12-11,213.67,230.65,211.5,227.3,552069.09
